region,export_product_diversity,import_product_diversity,year
Latin America & Caribbean ,834.2215834817586,511.00216155013663,1995
Aggregates,1.0,1.0,1995
South Asia,761.2360266501969,160.80715196193617,1995
Sub-Saharan Africa ,473.80179088223815,52.18482799868383,1995
Europe & Central Asia,1347.9725825600713,1371.082554019781,1995
Middle East & North Africa,1075.5877124365393,50.14697528976372,1995
East Asia & Pacific,1045.9866267781906,828.7389866911878,1995
North America,556.0708386726246,249.91337724318157,1995
Latin America & Caribbean ,976.8337890036926,399.8195366139692,1996
Aggregates,1.0,1.0,1996
South Asia,636.5321675797621,469.8183319431661,1996
Sub-Saharan Africa ,672.2314166198506,27.306676748313887,1996
Europe & Central Asia,1156.994159821245,1270.1716538955534,1996
Middle East & North Africa,1061.967332738221,23.943162384049497,1996
East Asia & Pacific,868.814932975841,788.6018910469311,1996
North America,573.5105746194469,680.3221109135911,1996
Latin America & Caribbean ,1010.925755356738,411.2921212887624,1997
Aggregates,1.0,1.0,1997
South Asia,598.0692149706715,503.2406248892435,1997
Sub-Saharan Africa ,699.1966881214618,27.73983927311638,1997
Europe & Central Asia,1119.579582083907,1228.6973402015738,1997
Middle East & North Africa,999.6305075137452,24.94730344036791,1997
East Asia & Pacific,819.3214601676314,759.5026176948412,1997
North America,582.9727185450075,691.5375508256168,1997
Latin America & Caribbean ,1053.433755112396,475.7680001149432,1998
Aggregates,1.0,1.0,1998
South Asia,548.0406846611298,483.5154569558538,1998
Sub-Saharan Africa ,624.2082690222917,44.55598324291193,1998
Europe & Central Asia,1136.41739587467,1204.5521474597151,1998
Middle East & North Africa,1028.2476923697827,49.99457241092202,1998
East Asia & Pacific,824.422625388892,752.7701451474528,1998
North America,638.0832221777983,678.6522268164646,1998
Latin America & Caribbean ,990.074406743659,435.01865446803725,1999
Aggregates,1.0,1.0,1999
South Asia,343.54697477872054,439.491362851124,1999
Sub-Saharan Africa ,687.5835511512206,36.44548465111242,1999
Europe & Central Asia,1064.7424362083252,1116.4332627806757,1999
Middle East & North Africa,970.8032442911688,34.25920682237489,1999
East Asia & Pacific,759.2972146844677,718.1673490335161,1999
North America,572.0831453560776,633.8828159161673,1999
Latin America & Caribbean ,870.0824020108181,352.9225772552788,2000
Aggregates,1.0,1.0,2000
South Asia,507.4599946607535,475.2660554948732,2000
Sub-Saharan Africa ,725.8066387171391,98.73973468750322,2000
Europe & Central Asia,946.9157445480636,995.9371563359095,2000
Middle East & North Africa,948.9191609220956,23.140744797239325,2000
East Asia & Pacific,637.1984747562416,670.9768419636306,2000
North America,500.35869696955183,638.558054325894,2000
Latin America & Caribbean ,908.5986254582216,386.1150171337716,2001
Aggregates,1.0,1.0,2001
South Asia,548.3793822267022,512.9314218376674,2001
Sub-Saharan Africa ,748.4289826310898,109.91674097595676,2001
Europe & Central Asia,968.4439034487782,994.2326488386,2001
Middle East & North Africa,953.4180205351402,31.50008343550236,2001
East Asia & Pacific,695.4095413609508,731.0161037103136,2001
North America,527.593699182661,664.2715896134683,2001
Latin America & Caribbean ,896.073676072369,376.22648211051256,2002
Aggregates,1.0,1.0,2002
South Asia,528.1331105901345,485.03222265087913,2002
Sub-Saharan Africa ,792.0449725615991,120.80983487594544,2002
Europe & Central Asia,954.2563862904516,956.324632153923,2002
Middle East & North Africa,935.7505779902276,41.166140536616,2002
East Asia & Pacific,702.2077965073104,708.8124382215718,2002
North America,512.5645863521503,667.9009919855584,2002
Latin America & Caribbean ,853.3213004732924,376.5762942112733,2003
Aggregates,1.0,1.0,2003
South Asia,507.0077126939281,496.0795540641108,2003
Sub-Saharan Africa ,800.1641892987916,114.45721929366712,2003
Europe & Central Asia,957.3642653322956,965.9292871133956,2003
Middle East & North Africa,957.6572649974632,33.75799406414511,2003
East Asia & Pacific,650.319357608621,686.8855567371362,2003
North America,501.0152144790027,658.0802501447514,2003
Latin America & Caribbean ,832.7476247074762,356.14501981883467,2004
Aggregates,1.0,1.0,2004
South Asia,539.9032353775968,467.8044653398981,2004
Sub-Saharan Africa ,706.7306099741267,99.5115518502764,2004
Europe & Central Asia,922.73938847468,944.6647410831991,2004
Middle East & North Africa,906.8472153161704,30.52157799720601,2004
East Asia & Pacific,615.341589824053,677.4232414489874,2004
North America,494.3927392939276,668.9985506082334,2004
Latin America & Caribbean ,766.2772292509122,325.3332822802083,2005
Aggregates,1.0,1.0,2005
South Asia,527.5041346946065,432.4353330166934,2005
Sub-Saharan Africa ,612.1211866254823,69.09010600193187,2005
Europe & Central Asia,838.9818545717692,869.4431478056227,2005
Middle East & North Africa,798.2702422578737,24.34086529989689,2005
East Asia & Pacific,542.5291018696003,671.5504921211591,2005
North America,462.1580515924584,653.918450793073,2005
Latin America & Caribbean ,731.558974178269,280.2632562093365,2006
Aggregates,1.0,1.0,2006
South Asia,287.5494833404057,397.26854583006445,2006
Sub-Saharan Africa ,573.3670195434383,52.79720938490604,2006
Europe & Central Asia,813.2527715351689,842.036475528115,2006
Middle East & North Africa,777.9248323316159,18.612597155219795,2006
East Asia & Pacific,500.5560342702669,672.832019323724,2006
North America,440.5841184913255,630.4393994309295,2006
Latin America & Caribbean ,751.3314820534914,283.78950800000246,2007
Aggregates,1.0,1.0,2007
South Asia,251.1594839237029,384.4054767944637,2007
Sub-Saharan Africa ,589.9702489335858,54.227849458997696,2007
Europe & Central Asia,861.3738739265185,872.6795998101296,2007
Middle East & North Africa,782.0483288141578,23.779558939352057,2007
East Asia & Pacific,500.4283974855793,687.0343767228183,2007
North America,430.5571544670384,634.9143018431394,2007
Latin America & Caribbean ,682.9056526415441,269.132594308637,2008
Aggregates,1.0,1.0,2008
South Asia,198.975519972038,363.1139602592109,2008
Sub-Saharan Africa ,528.3373098099648,43.79723513626372,2008
Europe & Central Asia,784.0897000522773,802.9404047206683,2008
Middle East & North Africa,720.2705263226843,17.84839688278307,2008
East Asia & Pacific,424.53844730222346,678.5337620118747,2008
North America,374.5004929141805,581.2978263629842,2008
Latin America & Caribbean ,749.2568453733056,282.2267276118661,2009
Aggregates,1.0,1.0,2009
South Asia,239.63903653040225,344.5431104803405,2009
Sub-Saharan Africa ,576.2604505949854,65.91721483724176,2009
Europe & Central Asia,825.2791826075222,843.6182412868242,2009
Middle East & North Africa,816.040244669444,26.541097678702307,2009
East Asia & Pacific,504.9183845553509,673.3364705517628,2009
North America,450.5394876928941,644.347437132284,2009
Latin America & Caribbean ,690.7760691605439,250.8654602303242,2010
Aggregates,1.0,1.0,2010
South Asia,212.7734004826033,296.82626794383424,2010
Sub-Saharan Africa ,519.6151298865831,56.6950283912968,2010
Europe & Central Asia,803.8228658843748,808.5779757770704,2010
Middle East & North Africa,775.1619259386525,27.694019451608806,2010
East Asia & Pacific,462.2681185865925,658.0298764225713,2010
North America,422.1949851171956,607.704673756317,2010
Latin America & Caribbean ,621.3402586587996,224.1089134815,2011
Aggregates,1.0,1.0,2011
South Asia,185.69112877585096,281.25517369654057,2011
Sub-Saharan Africa ,488.0161859452769,45.10709578962824,2011
Europe & Central Asia,764.2206036591813,764.0711069819455,2011
Middle East & North Africa,700.3303725073852,21.248772219163488,2011
East Asia & Pacific,420.6528728083181,682.5854636914794,2011
North America,396.7198978636057,552.8565469943804,2011
Latin America & Caribbean ,638.1053877146833,230.0195344089245,2012
Aggregates,1.0,1.0,2012
South Asia,165.1532756082863,306.6361030703437,2012
Sub-Saharan Africa ,505.470905631761,44.860002547390565,2012
Europe & Central Asia,696.7437234200116,713.6467007883678,2012
Middle East & North Africa,600.1052718567715,21.413256439849267,2012
East Asia & Pacific,385.828311483774,650.4990091657095,2012
North America,416.5593798621667,526.12158356518,2012
Latin America & Caribbean ,633.4646416784555,235.60842032300155,2013
Aggregates,1.0,1.0,2013
South Asia,171.15159303544476,296.4827592725935,2013
Sub-Saharan Africa ,483.9568995667712,46.75693881920967,2013
Europe & Central Asia,743.1715845756091,726.4153541240026,2013
Middle East & North Africa,592.0935795366252,23.755662683701463,2013
East Asia & Pacific,361.1958753674696,637.6227058859864,2013
North America,440.40903926769965,506.4760283730891,2013
Latin America & Caribbean ,645.9819568517632,251.36650167429343,2014
Aggregates,1.0,1.0,2014
South Asia,206.0481808910149,314.5031942694769,2014
Sub-Saharan Africa ,501.84873884888,56.00177771865752,2014
Europe & Central Asia,779.798204149152,758.5723796304421,2014
Middle East & North Africa,658.8045344872398,27.530143974644677,2014
East Asia & Pacific,391.0646960553293,670.0238306953755,2014
North America,478.7390920315574,500.56859595971736,2014
Latin America & Caribbean ,752.89692543716,326.5968686469084,2015
Aggregates,1.0,1.0,2015
South Asia,331.8626661845556,415.7790560551414,2015
Sub-Saharan Africa ,584.1736986289636,83.67523913564241,2015
Europe & Central Asia,869.0121874611965,820.352783812829,2015
Middle East & North Africa,702.4558020145845,58.41396714369437,2015
East Asia & Pacific,503.09943850854927,690.2379589093961,2015
North America,564.0270601713776,554.339622704097,2015
Latin America & Caribbean ,749.8292504827531,338.61114649005526,2016
Aggregates,1.0,1.0,2016
South Asia,413.4983735437226,416.325160285755,2016
Sub-Saharan Africa ,627.2557056255122,98.81325723550228,2016
Europe & Central Asia,862.8987553012919,833.8616905385426,2016
Middle East & North Africa,708.5785497168592,60.13008092954493,2016
East Asia & Pacific,530.750459584343,685.6074681814018,2016
North America,556.6822160659207,548.0717195462443,2016
Latin America & Caribbean ,679.8595595366928,309.57290812676644,2017
Aggregates,1.0,1.0,2017
South Asia,328.196107414138,414.0806388020879,2017
Sub-Saharan Africa ,628.7701019093873,94.11738686019004,2017
Europe & Central Asia,841.510221544569,812.1004710130677,2017
Middle East & North Africa,678.2654213418681,56.050572313125855,2017
East Asia & Pacific,454.69137831141455,599.3703820674297,2017
North America,533.2910004694605,522.1939466795636,2017
Latin America & Caribbean ,637.5357320792417,285.74978150171864,2018
Aggregates,1.0,1.0,2018
South Asia,289.9725453096004,375.8929618768292,2018
Sub-Saharan Africa ,565.3840073649434,80.61494211528198,2018
Europe & Central Asia,819.1198016268037,786.5173457615922,2018
Middle East & North Africa,631.1346001629345,43.17510530121648,2018
East Asia & Pacific,408.5586810736036,593.67608624859,2018
North America,525.1758807990592,489.3950222799943,2018
Latin America & Caribbean ,635.3814021367001,307.50875167981644,2019
Aggregates,1.0,1.0,2019
South Asia,308.7813845226431,407.5805014942325,2019
Sub-Saharan Africa ,568.7347438564482,80.64767612507771,2019
Europe & Central Asia,808.4397388784412,782.500060323688,2019
Middle East & North Africa,646.9421355173805,48.55442433007848,2019
East Asia & Pacific,420.1394536483628,599.8320679036982,2019
North America,540.6012672931768,476.2134621034684,2019
Latin America & Caribbean ,699.9080533683824,313.2643350179946,2020
Aggregates,1.0,1.0,2020
South Asia,366.8449359516925,458.9052123063765,2020
Sub-Saharan Africa ,610.8488736478951,91.22763788393864,2020
Europe & Central Asia,831.8826693120735,826.7009311290279,2020
Middle East & North Africa,682.6381959853226,82.85884038336111,2020
East Asia & Pacific,453.9281533738978,559.5688079962314,2020
North America,569.9824272230227,512.5533492507236,2020
Latin America & Caribbean ,648.4798821561045,290.30400619607514,2021
Aggregates,1.0,1.0,2021
South Asia,280.67640225100115,415.54090355243005,2021
Sub-Saharan Africa ,538.4961882871139,84.7534679951791,2021
Europe & Central Asia,824.9503476928254,788.5554262828749,2021
Middle East & North Africa,594.7643290408672,62.148108853249965,2021
East Asia & Pacific,403.1880070843851,571.0001819284482,2021
North America,592.7601618078177,450.10386912276414,2021
Latin America & Caribbean ,564.6090666859074,278.30382419200873,2022
Aggregates,1.0,1.0,2022
South Asia,212.1563362563865,335.8204571325997,2022
Sub-Saharan Africa ,407.14571435734734,68.64804812979065,2022
Europe & Central Asia,674.3068082907887,667.03902198194,2022
Middle East & North Africa,541.9515044691668,40.25190089015705,2022
East Asia & Pacific,345.01913555454854,551.6099880907643,2022
North America,550.9052066046239,361.2737841057823,2022
